Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Holden,2003,Rodeo,Ute / Tray,2003 Holden Rodeo DX,USED,Manual,2.4,Rear,Unleaded,0.0,234800,White / -,"Rocklea, QLD",4.0,Ute / Tray,2.0,3.0,10999.0
Mercedes-Benz,2007,C220,Sedan,2007 Mercedes-Benz C220 CDI Elegance,USED,Automatic,2.1,Rear,Diesel,6.7,173121,Black / -,"Thomastown, VIC",4.0,Sedan,4.0,5.0,12990.0
MG,2023,ZST,Brighton MG,2023 MG ZST Core,NEW,Automatic,1.5,Front,Missing,6.9,20,Orange / Black & Grey Tartan,"Elsternwick, VIC",4.0,SUV,5.0,5.0,27690.0
Honda,2013,Civic,Hatchback,2013 Honda Civic VTI-LN,USED,Automatic,1.8,Front,Premium,6.5,98984,Silver / -,"Ringwood, VIC",4.0,Hatchback,5.0,5.0,17888.0
Mazda,2018,CX-5,SUV,2018 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,2.0,Front,Unleaded,6.9,41095,White / Black,"Pinkenba, QLD",4.0,SUV,4.0,5.0,31990.0
Mazda,2017,CX-5,SUV,2017 Mazda CX-5 Maxx (4X2),USED,Automatic,2.0,Front,Unleaded,6.9,58517,Silver / -,"Rocklea, QLD",4.0,SUV,4.0,5.0,30395.0
Holden,2010,Commodore,Sedan,2010 Holden Commodore SV6,USED,Automatic,3.6,Rear,Unleaded,10.1,185015,Red / -,"Ringwood, VIC",6.0,Sedan,4.0,5.0,15699.0
Toyota,2017,C-HR,SUV,2017 Toyota C-HR (2WD),USED,Automatic,1.2,Front,Premium,6.4,64660,Red / Black,"Cranbourne, VIC",4.0,SUV,4.0,5.0,32490.0
Hyundai,2018,Santa,SUV,2018 Hyundai Santa FE Elite Crdi Satin (awd),USED,Automatic,2.2,AWD,Diesel,7.5,108830,Silver / Black,"Pinkenba, QLD",4.0,SUV,4.0,7.0,35990.0
Honda,2005,Accord,USED Dealer ad,2005 Honda Accord 30th Anniversary,USED,Automatic,2.4,Front,Unleaded,8.7,343048,Black / Beige  Leather,"BAYSWATER NORTH, VIC",4.0,Missing,4.0,5.0,5499.0
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST-L,USED,Automatic,2.0,Front,Unleaded,6.9,62126,Blue / -,"Kedron, QLD",4.0,SUV,4.0,5.0,27990.0
Volkswagen,2015,Polo,Hatchback,2015 Volkswagen Polo GTI,USED,Automatic,1.8,Front,Premium,5.7,77281,Black / Cloth,"Nundah, QLD",4.0,Hatchback,5.0,5.0,22990.0
Mercedes-Benz,2009,C300,Sedan,2009 Mercedes-Benz C300 Elegance,USED,Automatic,3.0,Rear,Premium,9.4,114446,Grey / -,"Reservoir, VIC",6.0,Sedan,4.0,5.0,14499.0
Volkswagen,2014,Golf,Hatchback,2014 Volkswagen Golf GTI,USED,Automatic,2.0,Front,Premium,6.2,120000,- / -,"Werribee, VIC",4.0,Hatchback,5.0,5.0,25999.0
Ssangyong,2011,Actyon,Ute / Tray,2011 Ssangyong Actyon Sports Tradie (4X4),USED,Automatic,2.0,4WD,Diesel,8.7,209000,- / -,"Avondale Heights, VIC",4.0,Ute / Tray,4.0,5.0,8999.0
Volkswagen,2016,Amarok,East Coast Commercials - Used,2016 Volkswagen Amarok TDI400 4MOT Core,USED,Manual,2.0,Other,Diesel,8.9,81851,Grey / -,"Acacia Ridge, QLD",6.0,Ute / Tray,4.0,6.0,33980.0
Hyundai,2017,Accent,Hatchback,2017 Hyundai Accent Sport,USED,Manual,1.6,Front,Unleaded,6.3,20417,Blue / Black Cloth,"Berwick, VIC",4.0,Hatchback,5.0,5.0,18495.0
Holden,2011,Commodore,03 **** ****,2011 Holden Commodore Berlina,USED,Missing,,Other,Unleaded,,191000,Silver / Black,"Werribee, VIC",,Missing,,,10999.0
Mitsubishi,2013,Triton,Ute / Tray,2013 Mitsubishi Triton GLX (4X4),USED,Automatic,2.5,4WD,Diesel,9.9,128000,White / -,"Archerfield, QLD",4.0,Ute / Tray,4.0,5.0,25500.0
